inv_nr,gebouw,adres,plaats,provincie,functie,materiaal,sectie,jaar_van,jaar_tot,aantal_bladen,lat,lon,precisie,na_link
1219.1,Post- en telegraafgebouw,Stationweg 11,Sliedrecht,Zuid-Holland,post & telegraaf,tekening,IB,1915,1925,1,51.823402,4.80198,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1219.1/file/
1220.1,Raadhuis,,Sluis,Zeeland,bestuur & financiën,tekening,IB,1940,1950,1,51.333414,3.523103,plaats,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1220.1/file/
1221.1,Post- en telegraafgebouw,Kapellestraat 29,Sluis,Zeeland,post & telegraaf,tekening,IB,1906,1906,1,51.307924,3.387031,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1221.1/file/
1222.1,Belastinggebouw,St.-Annaweg,Sluis,Zeeland,bestuur & financiën,tekening,IB,1903,1903,1,51.309112,3.675299,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1222.1/file/
1223.1,Grenskantoor,"St.-Annaweg, St.-Anna ter Muiden",Sluis,Zeeland,douane & opslag,tekening,IB,1937,1938,3,51.309112,3.675299,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1223.1/file/
1224.1,Telefoongebouw,"Noorderbuurt, Drachten",Smallingerland,Fryslân,post & telegraaf,tekening,IB,1938,1939,106,53.108309,6.097533,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1224.1/file/
1225.1,Post- en telegraafgebouw,Noorderbuurt 30-32,Smallingerland,Fryslân,post & telegraaf,tekening,IB,1926,1926,1,53.108309,6.097533,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1225.1/file/
1226.1,Middelbare landbouwschool,Torenstraat 12,Smallingerland,Fryslân,onderwijs & wetenschap,tekening,IB,1920,1930,21,53.11075,6.100235,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1226.1/file/
1227.1,Rijks-h.b.s. c.a,Torenstraat 28,Smallingerland,Fryslân,onderwijs & wetenschap,tekening,IB,1915,1925,41,53.11075,6.100235,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1227.1/file/
1228.1,Strafgevangenis,"Achter kantongerecht, Marktstraat 27",Sneek,Fryslân,gevangeniswezen,tekening,IB,1843,1905,7,53.022084,5.655072,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1228.1/file/
1229.1,Post- en telegraafgebouw / Telefoongebouw,Leeuwenburg 8,Sneek,Fryslân,post & telegraaf,tekening,IB,1931,1945,29,53.032011,5.660459,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1229.1/file/
1230.1,Post- en telegraafgebouw,Vredenhofstraat 6,Soest,Utrecht,post & telegraaf,tekening,IB,1932,1932,2,52.161883,5.300063,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1230.1/file/
1231.1,Vliegtuigloods,Soesterberg,Soest,Utrecht,douane & opslag,tekening,IB,1914,1917,3,52.115875,5.305516,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1231.1/file/
1232.1,Post- en telegraafgebouw,"Hoofdstraat 17, Bovenkarspel",Stede Broec,Noord-Holland,post & telegraaf,tekening,IB,1920,1935,35,52.698367,5.246168,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1232.1/file/
1234.1,Post- en telegraafgebouw,Oosterstraat 80,Steenwijk,Overijssel,post & telegraaf,tekening,IB,1921,1935,16,52.787366,6.119413,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1234.1/file/
1235.1,Telefoongebouw,Oosterwijkstraat 19,Steenwijk,Overijssel,post & telegraaf,tekening,IB,1938,1938,2,52.791127,6.122609,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1235.1/file/
1236.1,Rijks-h.b.s,J.H. Tromp Meestersstraat 3,Steenwijk,Overijssel,onderwijs & wetenschap,tekening,IB,1919,1956,47,52.78924,6.116188,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1236.1/file/
1237.1,Belastinggebouw / G.A.B-districtsbureau,Willem de Zwijgerstraat 9,Steenwijk,Overijssel,bestuur & financiën,tekening,IB,1939,1940,54,52.789085,6.118923,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1237.1/file/
1238.1,Rijks lagere school,Willemsoord,Steenwijk,Overijssel,onderwijs & wetenschap,tekening,IB,1914,1933,3,52.800174,6.126117,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1238.1/file/
1239.1,Post- en telegraafgebouw,Grotestraat 23,Tegelen,Limburg,post & telegraaf,tekening,IB,1932,1932,3,51.3442,6.139008,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1239.1/file/
1240.1,Grenskantoor,Kaldenkerkerweg,Tegelen,Limburg,douane & opslag,tekening,IB,1889,1896,2,51.335227,6.157933,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1240.1/file/
1241.1,Boerderij Reidhoeve,"Dallingermeesterweg 20, Fiemel",Termunten,Groningen,landbouw & veeteelt,tekening,IB,1938,1938,3,53.295525,7.038202,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1241.1/file/
1242.1,Belastinggebouw,Axelsestraat / Rosegracht,Terneuzen,Zeeland,bestuur & financiën,tekening,IB,1940,1940,3,51.329062,3.834291,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1242.1/file/
1243.1,Telefoongebouw,Javaplantsoen,Terneuzen,Zeeland,post & telegraaf,tekening,IB,1937,1937,2,51.328299,3.864211,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1243.1/file/
1244.1,Kantongerecht,Markt 20,Terneuzen,Zeeland,rechtspraak,tekening,IB,1914,1915,13,51.337036,3.828292,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1244.1/file/
1245.1,Palenloods van de P.T.T. / Magazijn,Middenkanaalarm,Terneuzen,Zeeland,douane & opslag,tekening,IB,1920,1930,4,51.328299,3.864211,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1245.1/file/
1246.1,Post- en telegraafgebouw,Nieuwstraat 62,Terneuzen,Zeeland,post & telegraaf,tekening,IB,1900,1938,18,51.338639,3.824581,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1246.1/file/
1247.1,Telefoongebouw,Van Steenberglaan,Terneuzen,Zeeland,post & telegraaf,tekening,IB,1938,1938,1,51.337225,3.822588,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1247.1/file/
1248.1,Rijks-h.b.s,Zuidlandstraat 113,Terneuzen,Zeeland,onderwijs & wetenschap,tekening,IB,1905,1915,2,51.329335,3.841965,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1248.1/file/
1249.1,Rijkspakhuis der strandvonderij,Hoorn,Terschelling,Fryslân,douane & opslag,tekening,IB,1885,1895,1,53.405511,5.343687,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1249.1/file/
1250.1,Post- en telegraafgebouw,"Willem Barendszkade, West-Terschelling",Terschelling,Fryslân,post & telegraaf,tekening,IB,1900,1939,9,53.358845,5.216563,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1250.1/file/
1251.1,Telegraafbergplaats,"Achter het postkantoor, West-Terschelling",Terschelling,Fryslân,post & telegraaf,tekening,IB,1916,1916,1,53.358385,5.214774,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1251.1/file/
1252.1,Post- en telegraafgebouw c.a,"Brink, De Koog",Texel,Noord-Holland,post & telegraaf,tekening,IB,1939,1939,52,53.096817,4.761211,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1252.1/file/
1253.1,Vliegkamp De Mok / Joost Dourlainkazerne,Mokbaai,Texel,Noord-Holland,militair,tekening,IB,,,51,53.027188,4.799329,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1253.1/file/
1266.1,Post- en telegraafgebouw,Hoogstraat 19 / Visstraat 1-7,Tholen,Zeeland,post & telegraaf,tekening,IB,1893,1941,12,51.53149,4.222089,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1266.1/file/
1267.1,Villa Gizelina / Belastinggebouw,Postweg,Tholen,Zeeland,post & telegraaf,tekening,IB,1908,1942,3,51.536771,4.193692,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1267.1/file/
1268.1,Post- en telegraafgebouw,"Noordpoort, St.- Maartensdijk",Tholen,Zeeland,post & telegraaf,tekening,IB,1907,1914,10,51.550637,4.078171,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1268.1/file/
1269.1,Post- en telegraafgebouw,"Kerkstraat 1, Stavenisse",Tholen,Zeeland,post & telegraaf,tekening,IB,1919,1935,13,51.532082,4.220796,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1269.1/file/
1270.1,Telefoongebouw,2de Achterstraat 2a,Tiel,Gelderland,post & telegraaf,tekening,IB,1955,1955,1,51.886564,5.432829,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1270.1/file/
1271.1,Rijks-h.b.s,Heiligerstraat 74-76,Tiel,Gelderland,onderwijs & wetenschap,tekening,IB,1920,1935,13,51.867659,5.402388,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1271.1/file/
1272.1,Gerechtsgebouwen en huis van bewaring,Nieuwe Tielseweg 1,Tiel,Gelderland,gevangeniswezen,tekening,IB,,,18,51.883701,5.43608,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1272.1/file/
1274.1,Post- en telegraafgebouw,Lageweg 115-116,Bergum,,post & telegraaf,tekening,IB,1916,1916,1,53.190832,5.990782,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/1274.1/file/
