kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Grafschaft Schaumburg,Engelse,855,855,0,0,0,0,52.18738,9.08046,Rotterdam (64); Amsterdam (37); 's-Gravenhage (14)
Untertaunus,Amerikaanse,842,842,0,0,0,0,50.47168,8.24446,Amsterdam (115); 's-Gravenhage (57); Rotterdam (37)
Memmingen,Amerikaanse,834,834,0,0,0,0,47.98162,10.16873,Rotterdam (100); Amsterdam (95); 's-Gravenhage (66)
Höxter,Engelse,825,825,0,0,0,0,51.79389,9.34886,Rotterdam (79); Amsterdam (31); 's-Gravenhage (12)
Eschwege,Amerikaanse,823,823,0,0,0,0,51.17335,10.06806,Rotterdam (120); Amsterdam (54); 's-Gravenhage (18)
Schwabmünchen,Amerikaanse,821,821,0,0,0,0,48.18056,10.75781,Rotterdam (341); Amsterdam (57); 's-Gravenhage (48)
Rotenburg An Der Fulda,Amerikaanse,811,811,0,0,0,0,51.01812,9.74876,Rotterdam (43); 's-Gravenhage (29); Utrecht (28)
Neu-Ulm,Amerikaanse,810,810,0,0,0,0,48.39535,10.00052,Rotterdam (156); 's-Gravenhage (92); Amsterdam (64)
Deggendorf,Amerikaanse,805,805,0,0,0,0,48.78141,13.00064,Amsterdam (81); Rotterdam (75); Maastricht (22)
Plauen,Russische,805,805,0,0,0,0,50.49506,12.13465,Rotterdam (155); Amsterdam (67); 's-Gravenhage (30)
Zwickau,Russische,802,751,51,0,0,0,50.7185,12.49393,Rotterdam (44); Son en Breugel (31); Amsterdam (28)
Wittgenstein,Engelse,801,801,0,0,0,0,50.92871,10.39859,Utrecht (61); Rotterdam (40); Geldermalsen (36)
Lüdenscheid,Engelse,787,787,0,0,0,0,51.21814,7.6397,Amsterdam (41); Rotterdam (38); 's-Gravenhage (20)
Dinkelsbuhl,Amerikaanse,774,774,0,0,0,0,49.06917,10.3194,Amsterdam (102); Schiedam (38); Wilsum (29)
Calw,Franse,774,774,0,0,0,0,48.71427,8.73976,'s-Gravenhage (36); Rotterdam (35); Amsterdam (30)
Sankt Goarshausen En Sankt Goar,Franse,767,767,0,0,0,0,50.15488,7.7161,Rotterdam (59); Amsterdam (53); Utrecht (18)
Biedenkopf,Amerikaanse,759,759,0,0,0,0,50.91958,8.53771,Rotterdam (112); Amsterdam (41); Noordwijk (32)
Altenkirchen,Franse,746,746,0,0,0,0,50.68801,7.64774,Amsterdam (51); Haarlem (41); Utrecht (23)
Grevenbroich-Neuss,Engelse,736,736,0,0,0,0,51.10523,6.60525,Amsterdam (34); Maastricht (31); Rotterdam (21)
Obernburg,Amerikaanse,726,726,0,0,0,0,51.23154,8.90521,Rotterdam (90); Amsterdam (51); Raamsdonk (35)
Grafschaft Hoya,Engelse,723,723,0,0,0,0,52.81412,9.12135,Amsterdam (29); Rotterdam (24); Utrecht (14)
Dresden,Russische,721,721,0,0,0,0,51.04933,13.73814,Rotterdam (39); Amsterdam (26); 's-Gravenhage (23)
Günzburg,Amerikaanse,709,709,0,0,0,0,48.46898,10.27453,Amsterdam (74); Rotterdam (53); 's-Gravenhage (49)
Gifhorn,Engelse,707,707,0,0,0,0,52.57814,10.66128,Amsterdam (64); Rotterdam (17); Utrecht (15)
Heilbronn,Amerikaanse,700,700,0,0,0,0,49.14229,9.21866,Rotterdam (103); 's-Gravenhage (61); Amsterdam (54)
Erfurt,Russische,696,696,0,0,0,0,50.9778,11.02874,'s-Gravenhage (34); Amsterdam (33); Haarlem (18)
Herschbrück,Amerikaanse,696,696,0,0,0,0,49.50858,11.42851,Tilburg (200); Amsterdam (73); Rotterdam (71)
Gelnhausen,Amerikaanse,671,671,0,0,0,0,50.2024,9.18739,Rotterdam (21); 's-Gravenhage (16); Amsterdam (13)
Pforzheim,Amerikaanse,645,645,0,0,0,0,48.89093,8.70255,Rotterdam (85); Amsterdam (51); 's-Gravenhage (38)
Ammerland,Engelse,631,631,0,0,0,0,53.20715,8.00576,Rotterdam (189); Emmen (26); Amsterdam (17)
Neustadt An Der Weinstrasse,Franse,628,628,0,0,0,0,49.35361,8.13602,Amsterdam (58); Utrecht (35); 's-Gravenhage (20)
Osterode,Engelse,628,628,0,0,0,0,51.72784,10.25082,Amsterdam (17); Rotterdam (13); Sevenum (11)
Rhein-Wupper,Engelse,622,622,0,0,0,0,51.06391,6.99403,Rotterdam (29); 's-Gravenhage (13); Delft (8)
Schongau,Amerikaanse,613,613,0,0,0,0,47.8119,10.89721,Zutphen (119); Rotterdam (61); Amsterdam (49)
Ebersberg,Amerikaanse,610,610,0,0,0,0,48.07828,11.96944,Rotterdam (139); Amsterdam (36); Utrecht (34)
Unterwesterwald,Franse,598,598,0,0,0,0,50.40613,7.69802,Amsterdam (52); Rotterdam (44); 's-Gravenhage (25)
Beckum,Engelse,591,591,0,0,0,0,51.75551,8.04114,Rotterdam (18); Amsterdam (9); Utrecht (9)
Warendorf,Engelse,585,585,0,0,0,0,51.95324,7.99123,Amsterdam (23); Rotterdam (19); Harlingen (13)
Kaufbeuren,Amerikaanse,584,584,0,0,0,0,47.88038,10.62225,Rotterdam (155); Amsterdam (63); 's-Gravenhage (44)
Cloppenburg,Engelse,576,576,0,0,0,0,52.84613,8.04388,Amsterdam (6); Rotterdam (5); Noordwijkerhout (3)
Wolfach,Franse,575,575,0,0,0,0,48.29858,8.22261,'s-Gravenhage (49); Rotterdam (48); Amsterdam (30)
Peine,Engelse,570,570,0,0,0,0,52.3119,10.25214,Rotterdam (16); Amsterdam (9); Leeuwarden (6)
Wolfratshausen,Amerikaanse,566,566,0,0,0,0,47.91046,11.42664,Rotterdam (104); Amsterdam (29); Arnhem (26)
Schleiden,Engelse,564,564,0,0,0,0,50.52859,6.47616,Rotterdam (163); Schoondijke (7); Wittem (6)
Aichach,Amerikaanse,561,561,0,0,0,0,48.45915,11.131,Rotterdam (110); 's-Gravenhage (96); Overschie (16)
Göppingen,Amerikaanse,554,554,0,0,0,0,48.70314,9.65411,Rotterdam (92); 's-Gravenhage (31); Maastricht (28)
Kusel,Franse,551,551,0,0,0,0,49.53998,7.40085,Halsteren (81); Amsterdam (63); Maastricht (43)
Donaueschingen,Franse,549,549,0,0,0,0,47.95342,8.49593,'s-Gravenhage (59); Amsterdam (39); Rotterdam (29)
Brückenau,Amerikaanse,547,547,0,0,0,0,50.30704,9.77704,'s-Gravenhage (63); Utrecht (35); Vaals (32)
Olpe,Engelse,545,545,0,0,0,0,51.02948,7.84353,'s-Gravenhage (29); Utrecht (25); Ubbergen (18)
Tölz,Amerikaanse,545,545,0,0,0,0,47.761,11.55961,Amsterdam (74); Rotterdam (45); 's-Gravenhage (39)
Wolfhagen,Amerikaanse,542,542,0,0,0,0,51.33334,9.19689,Amsterdam (60); Rotterdam (45); 's-Gravenhage (13)
Arnstadt,Russische,541,541,0,0,0,0,50.80133,10.95563,Rotterdam (78); Amsterdam (77); 's-Gravenhage (39)
Büdingen,Amerikaanse,538,538,0,0,0,0,50.29724,9.09908,'s-Gravenhage (40); Rotterdam (30); Amsterdam (21)
Amberg,Amerikaanse,535,535,0,0,0,0,49.45437,11.8474,Echt (33); Amsterdam (26); Groningen (26)
Wurtemberg-Baden,Amerikaanse,534,534,0,0,0,0,48.75469,7.97125,Rotterdam (97); 's-Gravenhage (43); Amsterdam (35)
Kitzingen,Amerikaanse,523,523,0,0,0,0,49.74739,10.15383,Rotterdam (255); 's-Gravenhage (21); Amsterdam (14)
Schwabach,Amerikaanse,511,511,0,0,0,0,49.33469,11.02941,'s-Gravenhage (43); Amsterdam (26); Heerlen (19)
Wunsiedel,Amerikaanse,511,511,0,0,0,0,50.03732,12.00273,Amsterdam (57); Rotterdam (55); Weert (22)
Julich,Engelse,505,505,0,0,0,0,50.92209,6.3611,Maastricht (19); Utrecht (17); Amsterdam (10)
Goslar,Engelse,502,502,0,0,0,0,51.90599,10.42663,Amsterdam (45); Rotterdam (23); Katwijk (18)
Kaiserslautern,Franse,488,488,0,0,0,0,49.44322,7.769,Amsterdam (97); 's-Gravenhage (32); Rotterdam (28)
Zerbst,Russische,479,479,0,0,0,0,51.96974,12.07455,Amsterdam (21); Utrecht (12); Zwolle (10)
Norden,Engelse,479,479,0,0,0,0,53.5942,7.20674,Rotterdam (38); Oude Pekela (25); Groningen (19)
Offenburg,Franse,474,474,0,0,0,0,48.4696,7.94292,'s-Gravenhage (17); Rotterdam (10); Amsterdam (8)
Wattenscheid,Engelse,464,464,0,0,0,0,51.48171,7.13566,Amsterdam (16); Veenendaal (9); Rotterdam (9)
Alsfeld,Amerikaanse,463,463,0,0,0,0,50.76522,9.30144,Rotterdam (35); Utrecht (19); 's-Gravenhage (16)
Mayen,Franse,459,459,0,0,0,0,50.32835,7.22151,Rotterdam (31); Amsterdam (27); Heerlen (14)
Donauwörth,Amerikaanse,459,459,0,0,0,0,48.71804,10.78073,Amsterdam (89); Rotterdam (72); 's-Gravenhage (14)
Mülheim,Franse,454,454,0,0,0,0,51.42729,6.88292,'s-Gravenhage (23); Amsterdam (16); Enschede (10)
Ahrweiler,Franse,450,450,0,0,0,0,50.43653,7.00502,Amsterdam (13); Rotterdam (11); 's-Gravenhage (11)
Wesermarsch,Engelse,445,445,0,0,0,0,53.35731,8.34548,Rotterdam (32); Amsterdam (16); Budel (13)
Kelheim,Amerikaanse,444,444,0,0,0,0,48.91849,11.87228,Rotterdam (73); Beuningen (41); Amsterdam (35)
Cuxhaven,Engelse,441,441,0,0,0,0,53.86878,8.69829,Rotterdam (25); Amsterdam (11); Katwijk (7)
Böblingen,Amerikaanse,441,441,0,0,0,0,48.68497,9.01134,Rotterdam (105); 's-Gravenhage (42); Oudewater (23)
Merseburg,Russische,437,437,0,0,0,0,51.35644,11.99615,Rotterdam (17); Amsterdam (14); Groningen (3)
Oberlahn,Amerikaanse,433,433,0,0,0,0,50.48207,8.2715,Amsterdam (27); 's-Hertogenbosch (17); Rotterdam (16)
Lüdinghausen,Engelse,430,430,0,0,0,0,51.77178,7.44464,Rotterdam (21); Amsterdam (18); Arnhem (8)
Biberach,Franse,429,429,0,0,0,0,48.09844,9.78999,Rotterdam (33); 's-Gravenhage (21); Bodegraven (12)
Weimar,Russische,427,427,0,0,0,0,50.97933,11.32979,Rotterdam (52); 's-Gravenhage (35); Amsterdam (19)
Karlstadt,Amerikaanse,426,426,0,0,0,0,49.96982,9.74414,Rotterdam (75); Jisp (23); Haarlem (22)
Ziegenhain,Amerikaanse,425,425,0,0,0,0,50.67702,7.52568,Rotterdam (31); Amsterdam (22); Schiedam (13)
Grafschaft Diepholz,Engelse,425,425,0,0,0,0,52.60168,8.36954,Haarlem (20); Amsterdam (20); Eindhoven (9)
Harburg,Engelse,423,423,0,0,0,0,53.45622,9.98721,Amsterdam (15); Odoorn (4); Eindhoven (4)
Jena,Russische,422,422,0,0,0,0,50.92817,11.58794,Rotterdam (34); Amsterdam (28); Groningen (16)
Weissenburg,Amerikaanse,415,415,0,0,0,0,49.03057,10.9719,Rotterdam (67); Amsterdam (47); Breda (12)
Cochem,Franse,410,410,0,0,0,0,50.14839,7.16632,Oss (67); Utrecht (32); Heesch (17)
Illertissen,Amerikaanse,410,410,0,0,0,0,48.22292,10.10534,Amsterdam (84); Rotterdam (38); Sliedrecht (22)
Stockach,Franse,401,401,0,0,0,0,47.85309,9.01345,Beilen (23); Sliedrecht (15); Maastricht (15)
Freising,Amerikaanse,397,397,0,0,0,0,48.40083,11.74396,Amsterdam (23); Rotterdam (20); 's-Gravenhage (18)
Erbach,Amerikaanse,385,385,0,0,0,0,48.32746,9.89138,Amsterdam (41); 's-Gravenhage (25); Groningen (18)
Bernburg,Russische,385,385,0,0,0,0,51.79397,11.73739,Amsterdam (43); Rotterdam (40); 's-Gravenhage (26)
Coesfeld,Engelse,377,377,0,0,0,0,51.94589,7.16911,Rotterdam (10); Utrecht (5); Amsterdam (5)
Uelzen,Engelse,376,376,0,0,0,0,52.98407,10.53859,Rotterdam (48); Amsterdam (35); 's-Gravenhage (14)
Miltenberg,Amerikaanse,374,374,0,0,0,0,49.69032,9.24622,Amsterdam (40); Rotterdam (30); Vreeswijk (18)
Zauch-Belzig,Russische,374,374,0,0,0,0,52.14056,12.58659,Amsterdam (67); Haarlem (58); Rotterdam (47)
Horb,Franse,370,370,0,0,0,0,50.37388,7.8513,'s-Gravenhage (5); Rotterdam (4); Baarn (2)
Stendal,Russische,369,369,0,0,0,0,52.60508,11.85943,Amsterdam (35); Rotterdam (34); 's-Gravenhage (17)
Kreuznach,Franse,364,364,0,0,0,0,49.84316,7.86577,Amsterdam (19); Tilburg (17); Rotterdam (12)
Euskirchen,Engelse,363,363,0,0,0,0,50.66126,6.78712,Wijchen (6); Kloetinge (5); Rotterdam (4)
Oberwesterwald,Franse,363,363,0,0,0,0,50.50633,7.92716,Amsterdam (34); Rotterdam (21); 's-Gravenhage (15)
Burken,Engelse,358,358,0,0,0,0,50.37453,10.96756,Rotterdam (29); Winterswijk (28); Aalten (9)
Pirmasens,Franse,357,357,0,0,0,0,49.1997,7.60878,Rotterdam (47); Delft (41); Amsterdam (39)
Niederbarnim,Russische,357,357,0,0,0,0,52.51509,13.46012,Amsterdam (43); Rotterdam (24); 's-Gravenhage (17)
Salgau,Franse,351,351,0,0,0,0,48.01581,9.50103,Rotterdam (30); Amsterdam (21); Maastricht (16)
Verden,Engelse,349,349,0,0,0,0,52.97597,9.18084,Amsterdam (15); 's-Gravenhage (11); Leiden (11)
Worms,Franse,348,348,0,0,0,0,49.63026,8.36209,Amsterdam (35); 's-Gravenhage (15); Rotterdam (12)
Bingen,Franse,342,342,0,0,0,0,49.96755,7.8944,Rotterdam (22); Nijmegen (15); Haarlemmermeer (13)
Füssen,Amerikaanse,337,337,0,0,0,0,47.5676,10.69932,Amsterdam (35); Rotterdam (25); 's-Gravenhage (21)
Bad Aibling,Amerikaanse,329,329,0,0,0,0,47.86405,12.00977,Rotterdam (64); Amsterdam (30); 's-Gravenhage (17)
Aurich,Engelse,328,328,0,0,0,0,53.50946,7.35834,Groningen (23); Winschoten (11); Amsterdam (9)
Lauterbach,Amerikaanse,326,326,0,0,0,0,50.64542,9.36753,Amsterdam (20); Rockanje (13); Rotterdam (13)
Rheydt,Engelse,325,325,0,0,0,0,51.16753,6.44584,Nieuwenhagen (14); Tilburg (7); Heerlen (6)
Bruchsal,Amerikaanse,325,325,0,0,0,0,49.12412,8.59802,'s-Gravenhage (33); Amsterdam (26); Leeuwarden (17)
Bersenbrock,Engelse,322,322,0,0,0,0,52.55533,7.94718,Hilversum (18); Rotterdam (6); 's-Gravenhage (4)
Husum,Engelse,318,318,0,0,0,0,54.48541,9.05379,'s-Gravenhage (26); Amsterdam (22); Rotterdam (22)
Erding,Amerikaanse,315,315,0,0,0,0,48.30644,11.90766,Rotterdam (42); Sliedrecht (18); 's-Gravenhage (12)
Mühldorf,Amerikaanse,314,314,0,0,0,0,48.2405,12.5251,Rotterdam (54); Maastricht (16); 's-Gravenhage (13)
Schlüchtern,Amerikaanse,314,314,0,0,0,0,50.3517,9.5613,Amsterdam (34); Vlaardingen (17); Rotterdam (15)
Halberstadt,Russische,311,311,0,0,0,0,51.89535,11.05206,Rotterdam (74); Amsterdam (20); Enschede (5)
Tirschenreuth,Amerikaanse,309,309,0,0,0,0,49.88886,12.32937,'s-Gravenhage (67); Amsterdam (43); Vlaardingen (28)
Naila,Amerikaanse,308,308,0,0,0,0,50.32832,11.69697,Amsterdam (100); 's-Gravenhage (17); Westkapelle (9)
Zweibrucken,Franse,305,305,0,0,0,0,49.24865,7.3642,'s-Gravenhage (23); Amsterdam (20); Utrecht (20)
Rehau,Amerikaanse,304,304,0,0,0,0,50.24576,12.04173,Amsterdam (38); Rotterdam (25); Maastricht (19)
Vilsburg,Amerikaanse,304,304,0,0,0,0,48.44848,12.3558,Amsterdam (50); Oude Pekela (9); Hoek (8)
Unterlahn,Franse,302,302,0,0,0,0,,,Rotterdam (30); Amsterdam (23); Schimmert (12)
Forchheim,Amerikaanse,301,301,0,0,0,0,49.7123,11.06643,'s-Gravenhage (25); Arnhem (18); Leiden (14)
Lindau,Franse,301,301,0,0,0,0,47.57287,9.69619,Rotterdam (17); Leiden (9); Amsterdam (8)
Schwäbisch Gmund,Amerikaanse,298,298,0,0,0,0,48.7999,9.79776,Rotterdam (40); 's-Gravenhage (29); Utrecht (16)
Teltow,Russische,296,296,0,0,0,0,52.38056,13.26853,Rotterdam (42); Amsterdam (23); Schiedam (11)
Frankenberg,Amerikaanse,295,295,0,0,0,0,50.91104,13.0331,Amsterdam (42); Rotterdam (9); Enschede (8)
Naumburg An Der Saale,Russische,290,290,0,0,0,0,51.15256,11.80992,Rotterdam (7); Beverwijk (5); Amsterdam (4)
Nördlingen,Amerikaanse,288,288,0,0,0,0,48.85166,10.48859,Rotterdam (41); Amsterdam (36); 's-Gravenhage (25)
Auerbach,Russische,288,288,0,0,0,0,50.49245,12.42667,Rotterdam (43); Dordrecht (29); 's-Gravenhage (22)
Aalen,Amerikaanse,281,281,0,0,0,0,48.83756,10.09296,Rotterdam (27); Tilburg (15); Aalten (13)
Freudenstadt,Franse,280,280,0,0,0,0,48.46377,8.41117,Rotterdam (26); Amsterdam (22); Zwolle (14)
Düren,Engelse,279,279,0,0,0,0,50.80317,6.48208,Leerdam (4); Delft (3); Klimmen (3)
Münden,Engelse,275,275,0,0,0,0,51.41619,9.65501,Amsterdam (22); Rotterdam (20); Vught (7)
Wittenberg,Russische,271,271,0,0,0,0,51.86665,12.64676,Amsterdam (17); Rotterdam (8); 's-Gravenhage (7)
Schwarzenberg,Russische,268,268,0,0,0,0,51.14743,9.5631,Amsterdam (21); Rotterdam (20); 's-Gravenhage (14)
Schwerin,Russische,265,265,0,0,0,0,53.62883,11.4148,Amsterdam (20); Rotterdam (16); 's-Gravenhage (4)
Ehingen,Franse,265,265,0,0,0,0,48.28285,9.72622,Rotterdam (44); 's-Gravenhage (12); Amsterdam (7)
Wanzleben,Russische,262,262,0,0,0,0,52.05929,11.4432,'s-Gravenhage (23); Amsterdam (22); Deventer (10)
Neuburg An Der Donau,Amerikaanse,260,260,0,0,0,0,48.74563,11.18796,'s-Gravenhage (34); Rotterdam (14); Vlagtwedde (12)
Alzey,Franse,255,255,0,0,0,0,49.74546,8.113,'s-Gravenhage (35); Pijnacker (24); Huizen (15)
Sinsheim,Amerikaanse,255,255,0,0,0,0,49.23446,8.89895,Krommenie (31); Hoogezand (21); Maastricht (7)
Borna,Russische,252,252,0,0,0,0,51.12222,12.50625,Amsterdam (30); Bedum (15); Rotterdam (13)
Ebern,Amerikaanse,251,251,0,0,0,0,50.09462,10.79347,Schelluinen (27); Dordrecht (20); Gorinchem (18)
Lauf,Amerikaanse,250,250,0,0,0,0,48.64858,8.12922,Groningen (22); Rotterdam (20); Amsterdam (15)
Leonburg,Amerikaanse,248,248,0,0,0,0,48.09708,11.56172,Rotterdam (33); Oosthuizen (10); Amsterdam (10)
Rostock,Russische,247,247,0,0,0,0,54.08867,12.14002,Amsterdam (12); Rotterdam (7); 's-Gravenhage (3)
Oschersleben,Russische,247,247,0,0,0,0,52.02665,11.22778,Tilburg (12); Maastricht (11); Amsterdam (11)
Paderborn,Engelse,246,246,0,0,0,0,51.7177,8.75265,Rotterdam (25); Amsterdam (19); Delft (17)
Springe,Engelse,246,246,0,0,0,0,52.20993,9.55816,Amsterdam (22); Rotterdam (9); Tilburg (6)
Landau In Der Pfalz,Franse,242,242,0,0,0,0,49.19828,8.11234,Amsterdam (24); Utrecht (14); 's-Gravenhage (12)
Waiblingen,Amerikaanse,242,242,0,0,0,0,48.83257,9.31638,Rotterdam (52); Deventer (16); Amsterdam (11)
Schleswig,Engelse,241,241,0,0,0,0,54.51851,9.56533,Amsterdam (30); Rotterdam (19); Utrecht (11)
Bernkastel,Franse,234,234,0,0,0,0,49.91555,7.07578,Amsterdam (24); Leeuwarden (15); Tilburg (12)
Wittmund,Engelse,234,234,0,0,0,0,53.53667,7.74608,Amsterdam (52); Groningen (21); 's-Gravenhage (6)
Überlingen,Franse,234,234,0,0,0,0,47.76645,9.16051,Rotterdam (13); Dordrecht (8); Eindhoven (7)
Haldensleben,Russische,230,230,0,0,0,0,52.29112,11.41327,Amsterdam (15); Rotterdam (14); 's-Gravenhage (12)
Saalfeld,Russische,230,230,0,0,0,0,50.64791,11.361,'s-Gravenhage (13); Utrecht (11); Amsterdam (9)
Gunzenhausen,Amerikaanse,227,227,0,0,0,0,49.11614,10.74069,Rotterdam (25); Ammerzoden (15); Schiedam (12)
Quedlinburg,Russische,222,222,0,0,0,0,51.78554,11.15199,Amsterdam (16); Rotterdam (15); Voorst (6)
Neustadt An Der Saale,Engelse,221,221,0,0,0,0,50.32165,10.21381,Tilburg (15); Amsterdam (11); Wildervank (6)
Lohr,Amerikaanse,220,220,0,0,0,0,50.04025,9.51751,Emmen (22); 's-Gravenhage (21); Onstwedde (12)
Lahr,Franse,215,215,0,0,0,0,49.94407,6.29094,'s-Gravenhage (22); Amsterdam (8); Arnhem (4)
Apolda,Russische,213,213,0,0,0,0,51.02279,11.51297,Amsterdam (39); Rotterdam (24); Langerak (7)
Delmenhorst,Engelse,210,210,0,0,0,0,53.0481,8.62861,Gemert (8); Apeldoorn (8); Utrecht (7)
Alzenau In Mainfranken,Amerikaanse,210,210,0,0,0,0,50.08587,9.08137,'s-Gravenhage (23); Rotterdam (23); Amsterdam (7)
Hildburghausen,Russische,209,209,0,0,0,0,50.42662,10.73001,Amsterdam (27); Noordwijk (7); Maastricht (5)
Vechta,Engelse,203,203,0,0,0,0,52.73107,8.28732,Emmen (2); Rotterdam (2); Roermond (1)
Jerichow,Russische,203,203,0,0,0,0,52.49764,12.02575,Amsterdam (20); Rotterdam (20); 's-Gravenhage (11)
Roding,Amerikaanse,202,202,0,0,0,0,49.19642,12.5167,'s-Gravenhage (8); Willemstad (6); Zuilichem (6)
Münchberg,Amerikaanse,201,201,0,0,0,0,50.19427,11.74394,Amsterdam (26); Groningen (22); Haarlem (21)
Northeim,Engelse,200,200,0,0,0,0,51.76485,9.85888,'s-Gravenhage (37); Amsterdam (11); Deventer (7)
