kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Güstrow,Russische,85,85,0,0,0,0,53.79359,12.17649,Rotterdam (6); Swalmen (5); 's-Gravenhage (5)
Hilpoltstein,Amerikaanse,83,83,0,0,0,0,49.17222,11.23427,'s-Hertogenbosch (17); Goirle (5); Eindhoven (3)
Mittweide,Russische,83,83,0,0,0,0,52.06437,14.14531,'s-Gravenhage (7); Roden (3); Zutphen (3)
Burg,Russische,83,83,0,0,0,0,49.96003,6.35121,Arnhem (3); Deventer (3); Stolwijk (3)
Westprignitz,Russische,78,78,0,0,0,0,,,Oudewater (9); Haarlem (4); Grijpskerk (4)
Castrop-Rauxel,Engelse,78,78,0,0,0,0,51.56462,7.31062,'s-Gravenhage (1); Amsterdam (1); Nijmegen (1)
Oberviechtach,Amerikaanse,77,77,0,0,0,0,49.46027,12.41898,Amsterdam (19); Tongelre (5)
Wolmirstedt,Russische,75,75,0,0,0,0,52.24849,11.62674,Amsterdam (10); Rotterdam (6); Hattem (4)
Melle,Engelse,75,75,0,0,0,0,52.19504,8.34748,Vlaardingen (4); Rotterdam (2); Gouda (2)
Duderstadt,Engelse,75,75,0,0,0,0,51.51237,10.26107,Leiden (6); Emmen (4); Smilde (2)
Uffenheim,Amerikaanse,73,73,0,0,0,0,49.54477,10.23047,'s-Gravenhage (11); Rotterdam (6); Haarlem (5)
Mühlhausen In Thuringen,Russische,72,72,0,0,0,0,51.20943,10.4589,'s-Gravenhage (3); Utrecht (2); Smallingerland (2)
Torgau,Russische,70,70,0,0,0,0,51.53832,12.99345,Rotterdam (8); Vlagtwedde (3); Vaals (3)
Greifswald,Russische,69,69,0,0,0,0,54.09579,13.38152,Rotterdam (9); Amsterdam (8); 's-Gravenhage (5)
Eggenfelden,Amerikaanse,69,69,0,0,0,0,48.40319,12.76262,Rotterdam (13); Delft (9); Oldenzaal (4)
Vaihingen,Amerikaanse,68,68,0,0,0,0,48.93214,8.95683,Vlaardingen (10); Rotterdam (9); Harderwijk (7)
Alfeld An Der Leine,Engelse,68,68,0,0,0,0,52.01193,9.78978,Rotterdam (5); Amsterdam (3); Helden (3)
